price,brand,model,version,year,km,doors,fuel
29.480,Fiat,Palio,1.4 Mpi Attractive 8v Flex 4p Manual,2014,49902 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,1.5 MPI WEEKEND 8V,2003,220000 km,4,Álcool
16.000,Fiat,Palio,1.0 MPI FIRE ELX ,2007,10000 km,4,Gasolina e Álcool (flex)
17.890,Fiat,Palio, CELEBRATION 1.0 FIRE FLEX 8V 2P,2010,95000 km,2,Gasolina e Álcool (flex)
15.300,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2008,99999 km,4,Gasolina e Álcool (flex)
23.900,Fiat,Palio,ELX 1.4 mpi FireFlex 8V 4p,2011,78235 km,4,Gasolina e Álcool (flex)
17.890,Fiat,Palio,Palio Elx 1.0 Completo,2008,83000 km,4,Gasolina e Álcool (flex)
25.980,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2014,39000 km,4,Gasolina e Álcool (flex)
28.899,Fiat,Palio,1.6 mpi 16V 4p,2012,57000 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,1 km,4,Gasolina e Álcool (flex)
31.980,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2014,39000 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,1.0 Celebration Economy FireFlex 8V 4p,2011,63000 km,4,Gasolina e Álcool (flex)
24.980,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2013,49000 km,4,Gasolina e Álcool (flex)
14.999,Fiat,Palio,2007,1 km,4,Gasolina
17.900,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V,2011,150000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,2010,86000 km,4,Gasolina e Álcool (flex)
16.500,Fiat,Palio,2012,1 km,4,Gasolina e Álcool (flex)
23.980,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2012,65000 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,1.8 MPI HLX 8V,2005,126489 km,4,Gasolina e Álcool (flex)
17.399,Fiat,Palio,Economy/Celebration,2010,1 km,4,Gasolina e Álcool (flex)
20.499,Fiat,Palio,2010,100000 km,05,Gasolina e Álcool (flex)
14.900,Fiat,Palio,Fire Flex ,2006,1 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2012,78000 km,4,Gasolina e Álcool (flex)
30.000,Fiat,Palio,Attractive,2013,31000 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio,SPORTING,2012,56000 km,4,Gasolina e Álcool (flex)
13.900,Fiat,Palio,2010,94571 km,2,Gasolina e Álcool (flex)
27.980,Fiat,Palio,fire,2016,19959 km,4,Gasolina e Álcool (flex)
18.900,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2010,360232 km,4,Gasolina e Álcool (flex)
30.500,Fiat,Palio,1.0 MPI ATTRACTIVE 8V,2015,45000 km,4,Gasolina e Álcool (flex)
18.900,Fiat,Palio,ELX 1.0 mpi Fire/ FireFlex 8V 4p,2008,1 km,4,Gasolina e Álcool (flex)
33.900,Fiat,Palio,1.6 MPI ESSENCE 16V,2014,30541 km,4,Gasolina e Álcool (flex)
15.890,Fiat,Palio,Fire 1.0 8v Flex,2007,119000 km,4,Gasolina e Álcool (flex)
30.900,Fiat,Palio,1.4 MPI ATTRACTIVE 8V,2013,53000 km,4,Gasolina e Álcool (flex)
30.500,Fiat,Palio, WEEKEND ADVENTURE LOCKER 1.8 FLEX,2009,73000 km,4,Gasolina e Álcool (flex)
18.900,Fiat,Palio,elx ,2008,78000 km,4,Gasolina e Álcool (flex)
33.900,Fiat,Palio,1.4 Mpi Attractive Weekend 8v,2014,46000 km,4,Gasolina e Álcool (flex)
14.499,Fiat,Palio,FIRE CELEBRATION,2008,128805 km,2,Gasolina e Álcool (flex)
25.900,Fiat,Palio,2013,51000 km,4,Gasolina e Álcool (flex)
16.800,Fiat,Palio,PALIO 1.0 FIRE ECONOMY 2012 PRATA COMPLETO,2012,108000 km,2,Gasolina e Álcool (flex)
17.990,Fiat,Palio,1.0 Celebration Economy FireFlex 8V 4p,2008,73000 km,4,Gasolina e Álcool (flex)
20.000,Fiat,Palio,Fire,2009,43944 km,4,Gasolina e Álcool (flex)
20.000,Fiat,Palio,1.0 fire 4 portas completo,2009,100 km,4,Gasolina e Álcool (flex)
36.999,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,30000 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio,Attractive 1.4 ,2014,49612 km,4,Gasolina e Álcool (flex)
30.000,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,47165 km,4,Gasolina e Álcool (flex)
49.800,Fiat,Palio,1.8 Mpi Adventure Weekend 16v,2015,45000 km,4,Gasolina e Álcool (flex)
16.500,Fiat,Palio,ELX ,2005,189701 km,5,Gasolina e Álcool (flex)
34.980,Fiat,Palio,1.0 ATTRACTIVE FLEX 8V,2016,7000 km,4,Gasolina e Álcool (flex)
25.999,Fiat,Palio,2012,39000 km,4,Gasolina e Álcool (flex)
18.500,Fiat,Palio,2007,131000 km,04,Gasolina e Álcool (flex)
32.880,Fiat,Palio,ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,2015,46557 km,4,Gasolina e Álcool (flex)
14.899,Fiat,Palio,ELX 1.0 MPI 8V Flex,2005,124000 km,4,Gasolina e Álcool (flex)
33.900,Fiat,Palio,1.6 Mpi Essence 16v,2015,51282 km,4,Gasolina e Álcool (flex)
23.990,Fiat,Palio,2012,56000 km,4,Gasolina e Álcool (flex)
21.900,Fiat,Palio,FIRE,2014,38035 km,2,Gasolina e Álcool (flex)
34.900,Fiat,Palio,Attractive 1.4,2014,58000 km,4,Gasolina e Álcool (flex)
19.999,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2012,68000 km,5,Gasolina e Álcool (flex)
23.900,Fiat,Palio,palio 1.0 economy completo,2013,89000 km,4,Gasolina e Álcool (flex),Coupé
29.500,Fiat,Palio,ATTRACTIVE,2013,67000 km,4,Gasolina e Álcool (flex)
48.400,Fiat,Palio,1.8 MPI ADVENTURE WEEKEND 16V,2014,50000 km,4,Gasolina e Álcool (flex)
28.400,Fiat,Palio,ATTRACTIVE 1.0 EVO Fire Flex 8v 5p,2013,60400 km,4,Gasolina e Álcool (flex)
29.899,Fiat,Palio,Attractive 1.0 8V Flex,2013,68000 km,4,Gasolina e Álcool (flex)
34.900,Fiat,Palio,1.4 MPI ATTRA 8V,2015,34000 km,4,Gasolina e Álcool (flex)
8.890,Fiat,Palio,1999,134000 km,2,Gasolina
18.990,Fiat,Palio,PALIO CELEBRATION ,2012,55000 km,2,Gasolina e Álcool (flex)
31.900,Fiat,Palio,2013,107256 km,4,Álcool
37.000,Fiat,Palio,2014,90464 km,4,Gasolina e Álcool (flex)
42.490,Fiat,Palio,2017,0 km,4,Gasolina e Álcool (flex)
12.800,Fiat,Palio,2002,193000 km,4,Gasolina
34.990,Fiat,Palio,ATTRACTIVE 1.0,2016,22000 km,4,Gasolina e Álcool (flex)
47.990,Fiat,Palio,1.6 MPI SPORTING SE BLUE EDITION ( 19 MIL KM ),2016,19230 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,ELX 1.0 MPI 8V Fire Flex,2008,0 km,4,Gasolina e Álcool (flex)
16.499,Fiat,Palio,ELX 1.0 Flex,2009,85000 km,2,Gasolina e Álcool (flex)
14.900,Fiat,Palio,1.0 Celebration Economy FireFlex 8V 2p,2011,140000 km,2,Gasolina e Álcool (flex)
31.990,Fiat,Palio,1.0 Mpi Attractive 8v,2015,24000 km,4,Gasolina e Álcool (flex)
41.900,Fiat,Palio,Palio Sporting Dualogic 1.6 Flex 2015 Branco (( 27.400 km )),2015,27400 km,4,Gasolina e Álcool (flex)
17.990,Fiat,Palio,1.0 Fire Economy Celebration 2p Manual,2012,54000 km,2,Gasolina e Álcool (flex)
33.900,Fiat,Palio,2015,61900 km,4,Gasolina e Álcool (flex)
41.900,Fiat,Palio,2015,38189 km,4,Gasolina e Álcool (flex)
33.990,Fiat,Palio,2013,52000 km,4,Gasolina e Álcool (flex)
43.900,Fiat,Palio,2016,15000 km,4,Gasolina e Álcool (flex)
19.999,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2012,68000 km,5,Gasolina e Álcool (flex)
32.990,Fiat,Palio,2010,107312 km,4,Gasolina e Álcool (flex)
19.999,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2012,68000 km,5,Gasolina e Álcool (flex)
48.900,Fiat,Palio,1.8 Mpi Adventure Weekend 16v,2016,34156 km,4,Gasolina e Álcool (flex)
17.000,Fiat,Palio,1.0 Economy FireFlex 8V 2p,2012,34000 km,2,Gasolina e Álcool (flex)
16.990,Fiat,Palio,2011,79000 km,2,Gasolina e Álcool (flex)
37.500,Fiat,Palio,2014,78000 km,4,Gasolina e Álcool (flex)
18.490,Fiat,Palio,2013,90000 km,2,Gasolina e Álcool (flex)
17.990,Fiat,Palio,2008,105000 km,4,Gasolina e Álcool (flex)
34.990,Fiat,Palio,2016,33000 km,4,Gasolina e Álcool (flex)
39.990,Fiat,Palio,2015,55079 km,4,Gasolina e Álcool (flex)
25.900,Fiat,Palio,2014,150000 km,4,Gasolina e Álcool (flex)
34.990,Fiat,Palio,Sporting,2014,58000 km,5,Gasolina e Álcool (flex)
36.000,Fiat,Palio,Palio Weekend Adventure 1.8,2013,89203 km,4,Gasolina e Álcool (flex)
35.990,Fiat,Palio,1.6 Mpi Essence 16v,2015,26600 km,4,Gasolina e álcool
39.900,Fiat,Palio,SPORTING 1.6 FLEX,2015,87000 km,4,Gasolina e álcool
14.990,Fiat,Palio,Fiat Palio Weekend 1.3 8v 2004 Completa Prata,2004,110000 km,4,Gasolina
15.900,Fiat,Palio,1.0/ Trofeo 1.0 Fire/ Fire Flex 2p,2007,1 km,2,Gasolina e Álcool (flex)
17.990,Fiat,Palio,Palio Fire Economy 1.0 Flex 2portas,2012,70014 km,2,Gasolina e álcool
35.500,Fiat,Palio,1.0 atractive,2016,16900 km,4,Gasolina e álcool,Hatchback
23.900,Fiat,Palio,ELX 1.4 MPI 8V Flex 4P,2010,43900 km,4,Gasolina e Álcool (flex),Coupé
13.900,Fiat,Palio,1.0 MPI ELX 8V FLEX 2P MANUAL,2010,78000 km,2,Gasolina e álcool
17.900,Fiat,Palio, ELX 1.4 MPI FIRE FLEX 8V 4P,2006,178308 km,4,Gasolina e Álcool (flex)
28.980,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,2016,39000 km,4,Gasolina e álcool
32.980,Fiat,Palio,ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,2015,26000 km,4,Gasolina e Álcool (flex)
17.500,Fiat,Palio,ELX 1.0 MPI 8V Flex,2007,0 km,4,Gasolina e Álcool (flex)
10.999,Fiat,Palio,2008,113 km,4,Gasolina e Álcool (flex)
14.500,Fiat,Palio,PALIO 1.0 CELEBRATION,2007,1 km,04,Gasolina-Álcool e gás natural
28.900,Fiat,Palio,2014,66281 km,4,Gasolina e álcool
30.990,Fiat,Palio,1.0 Mpi Fire 8v,2016,0 km,4,Gasolina e Álcool (flex)
37.500,Fiat,Palio,SPORT.INTERLAGOS Dual.1.6 Flex 16V,2014,34600 km,5,Gasolina e Álcool (flex)
27.900,Fiat,Palio,ATTRACTIVE 1.0 EVO Fire Flex 8v 5p,2013,34521 km,4,Gasolina e Álcool (flex)
16.000,Fiat,Palio,1999,12000 km,2,Gasolina
13.690,Fiat,Palio,2008,140000 km,2,Gasolina e Álcool (flex)
28.900,Fiat,Palio,2014,39400 km,4,Gasolina e Álcool (flex)
26.490,Fiat,Palio,1.0 Mpi Attractive 8v,2013,64000 km,4,Gasolina e Álcool (flex)
21.900,Fiat,Palio,2008,79000 km,4,Gasolina e Álcool (flex)
22.990,Fiat,Palio,ELX 1.4 FLEX,2010,131000 km,4,Gasolina e Álcool (flex)
25.990,Fiat,Palio,celebration completo,2015,60000 km,4,Gasolina e Álcool (flex)
20.800,Fiat,Palio,1.0 FERE ECONOMY,2011,95000 km,4,Gasolina e álcool
14.500,Fiat,Palio,1997,180000 km,4,Gasolina
25.990,Fiat,Palio,2015,52000 km,2,Gasolina e Álcool (flex)
7.900,Fiat,Palio,2003,1 km,2,Gasolina
14.500,Fiat,Palio,FIRE 1.0,2008,11111111 km,2,Gasolina e álcool
18.900,Fiat,Palio,PALIO FIRE ECONOMY ,2011,124231 km,2,Gasolina e álcool,Coupé
30.000,Fiat,Palio,Palio Weekend Trekking 1.6 16v,2013,129054 km,4,Gasolina e álcool
29.990,Fiat,Palio,Essence 1.6 MPI 16V,2013,46700 km,4,Gasolina e Álcool (flex)
18.490,Fiat,Palio,1.0 Mpi Fire Economy 8v,2013,93000 km,2,Gasolina e álcool
22.900,Fiat,Palio,PALIO FIRE ECONOMY ,2010,60512 km,4,Gasolina e álcool,Coupé
28.499,Fiat,Palio,1.0 MPI FIRE WAY 8V,2016,30870 km,4,Gasolina e Álcool (flex)
28.900,Fiat,Palio,2009,143740 km,4,Gasolina e Álcool (flex)
20.890,Fiat,Palio,2010,110006 km,4,Gasolina e Álcool (flex)
9.490,Fiat,Palio,EX 1.0 MPI FIRE 8V 4P,2001,129145 km,4,Gasolina
37.900,Fiat,Palio,2016,21755 km,4,Gasolina e álcool
22.500,Fiat,Palio,1.8 MPI R 8V FLEX 4P MANUAL,2010,0 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio,2011,66503 km,4,Gasolina e Álcool (flex)
21.800,Fiat,Palio,2008,150771 km,4,Gasolina e álcool
49.500,Fiat,Palio,2016,41000 km,4,Gasolina e Álcool (flex)
16.900,Fiat,Palio,1.0/ Trofeo 1.0 Fire/ Fire Flex 4p,2007,1 km,4,Gasolina e Álcool (flex)
28.800,Fiat,Palio,Attractive 1.4 Flex,2013,41000 km,4,Gasolina e álcool
49.900,Fiat,Palio,SPORTING ,2017,0 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,ESSENCE 1.6,2012,1 km,4,Gasolina e álcool
31.900,Fiat,Palio,ESSENCE 1.6,2012,1 km,4,Gasolina e álcool
38.000,Fiat,Palio,2015,87000 km,4,Gasolina e Álcool (flex)
32.990,Fiat,Palio,1.6 Mpi Sporting 16v,2013,93489 km,4,Gasolina e Álcool (flex)
8.990,Fiat,Palio,1998,14000 km,2,Gasolina
14.900,Fiat,Palio,ADVENTURE 1.6 16V,2003,0 km,4,Gasolina,Perua
7.900,Fiat,Palio,FIRE,2002,100000 km,2,Gasolina
14.890,Fiat,Palio,ELX 1.3 FLEX,2005,1 km,4,Gasolina e Álcool (flex)
16.990,Fiat,Palio,2007,90000 km,4,Gasolina e Álcool (flex)
17.500,Fiat,Palio,1.0 Economy FireFlex 8V 2p,2012,0 km,3,Gasolina e Álcool (flex)
33.890,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2015,19000 km,4,Gasolina e Álcool (flex)
31.500,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2015,44632 km,4,Gasolina e Álcool (flex)
15.000,Fiat,Palio,2012,0 km,5,Gasolina e Álcool (flex)
14.990,Fiat,Palio,ELX 1.4 mpi FireFlex 8V 4p,2006,1 km,4,Gasolina e Álcool (flex)
21.900,Fiat,Palio,ATTRACTIVE,2014,15000 km,4,Gasolina e Álcool (flex)
44.800,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,11800 km,4,Gasolina e Álcool (flex)
22.500,Fiat,Palio,ATTRACTIVE,2013,38000 km,4,Gasolina e Álcool (flex)
9.990,Fiat,Palio,EX 1.0 mpi Fire 8v 4p,2001,173000 km,4,Gasolina
25.890,Fiat,Palio,Fiat Palio Attractive 1.0 8v Flex 5p 2013,2013,43000 km,5,Gasolina e Álcool (flex)
10.899,Fiat,Palio, ELX 1.3 MPI  FIRE 16V 4P,2003,138000 km,4,Gasolina
17.999,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2010,108 km,4,Gasolina e Álcool (flex)
44.800,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,11800 km,4,Gasolina e Álcool (flex)
15.000,Fiat,Palio,2009,0 km,4,Gasolina e Álcool (flex)
12.900,Fiat,Palio,EX 1.0 mpi Fire 8v 4p,2005,150000 km,4,Gasolina
13.900,Fiat,Palio,ELX 1.4 mpi FireFlex 8V 4p,2006,140000 km,4,Gasolina e Álcool (flex)
31.890,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2014,32000 km,4,Gasolina e Álcool (flex)
14.890,Fiat,Palio,ELX 1.3 FLEX,2005,1 km,4,Gasolina e Álcool (flex)
14.990,Fiat,Palio,FIRE ,2008,100 km,4,Gasolina e Álcool (flex)
44.800,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,11800 km,4,Gasolina e Álcool (flex)
15.500,Fiat,Palio,FIRE ECONOMY,2010,85000 km,2,Gasolina e Álcool (flex)
13.900,Fiat,Palio,1.0 MPI ELX 8V GASOLINA 2P MANUAL,2006,0 km,2,Gasolina-Álcool e GNV (TetraFlex)
26.890,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2015,49000 km,4,Gasolina e Álcool (flex)
15.800,Fiat,Palio,2009,56000 km,4,Gasolina e álcool
44.800,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,11800 km,4,Gasolina e Álcool (flex)
22.500,Fiat,Palio,1.0 Celebration Economy FireFlex 8V 4p,2011,59151 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio,Way 1.0 34 Mil Km!,2016,34000 km,4,Gasolina e Álcool (flex)
14.200,Fiat,Palio,1.0 Economy FireFlex 8V 2p,2011,80500 km,2,Gasolina e Álcool (flex)
33.890,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2015,19000 km,4,Gasolina e Álcool (flex)
24.980,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2013,49000 km,4,Gasolina e Álcool (flex)
15.500,Fiat,Palio,2008,132200 km,4,Gasolina e Álcool (flex)
18.990,Fiat,Palio,ELX 1.4,2008,98000 km,4,Gasolina e Álcool (flex)
31.500,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2013,83800 km,4,Gasolina e Álcool (flex)
31.980,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2014,49000 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio, WEEKEND ADVENTURE LOCKER 1.8 FLEX,2010,74000 km,4,Gasolina e Álcool (flex)
17.499,Fiat,Palio, CELEBRATION 1.0 FIRE FLEX 8V 4P,2007,84000 km,4,Gasolina e Álcool (flex)
14.899,Fiat,Palio,Stile 1.6 mpi 16v 4p,2002,145627 km,4,Gasolina
22.900,Fiat,Palio,2009,92100 km,4,Gasolina e Álcool (flex)
26.980,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,2015,45000 km,4,Gasolina e Álcool (flex)
30.490,Fiat,Palio,1.8 MPI ADVENTURE WEEKEND 8V FLEX 4P MANUAL,2010,78000 km,4,Gasolina e Álcool (flex)
28.990,Fiat,Palio,2013,40000 km,4,Gasolina e Álcool (flex)
25.980,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2014,39000 km,4,Gasolina e Álcool (flex)
7.900,Fiat,Palio, EDX 1.0 MPI 4P,1997,201276 km,4,Gasolina
18.500,Fiat,Palio,2010,74000 km,4,Gasolina e Álcool (flex)
34.980,Fiat,Palio,1.0 ATTRACTIVE FLEX 8V,2016,7000 km,4,Gasolina e Álcool (flex)
31.980,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2014,39000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,ELX 1.4 FLEX,2008,1 km,4,Gasolina e Álcool (flex)
26.880,Fiat,Palio,ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,2012,34923 km,4,Gasolina e Álcool (flex)
6.200,Fiat,Palio,1997,127811 km,2,Gasolina
19.890,Fiat,Palio,Palio Mpi Fire 8v Flex,2013,64571 km,2,Gasolina e Álcool (flex)
20.990,Fiat,Palio,1.0 Mpi Fire 8v,2015,33000 km,2,Gasolina e Álcool (flex)
28.900,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2013,71356 km,4,Gasolina e Álcool (flex)
29.850,Fiat,Palio,2014,32000 km,4,Gasolina e Álcool (flex)
34.900,Fiat,Palio,2015,53751 km,4,Gasolina e Álcool (flex)
29.000,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2013,41043 km,4,Gasolina e Álcool (flex)
15.800,Fiat,Palio,FIRE 1.0FLEX,2007,94000 km,4,Gasolina e Álcool (flex)
20.800,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2010,98000 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio, WEEKEND ADVENTURE LOCKER 1.8 FLEX,2009,69235 km,4,Gasolina e Álcool (flex)
33.890,Fiat,Palio,Attractive 1.4 Fire Flex 8V 5p,2015,17900 km,4,Gasolina e Álcool (flex)
18.000,Fiat,Palio,EX 1.0 mpi 2p,1997,33333 km,2,Gasolina
17.000,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2008,112000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,Palio 1.8 Adventure Weekend 8v Flex 4p Manual,2005,110000 km,4,Gasolina e Álcool (flex)
35.900,Fiat,Palio,ATTRACTIVE,2016,62764 km,04,Gasolina e Álcool (flex)
35.890,Fiat,Palio,Palio Weekend Adventure 1.8,2013,89350 km,4,Gasolina e Álcool (flex)
18.900,Fiat,Palio,Economy 1.0 8V Fire Flex,2010,107000 km,4,Gasolina e Álcool (flex)
15.890,Fiat,Palio,Fiat Palio Weekend 1.3 8v 2004 Completa Prata,2004,110000 km,4,Gasolina,Minivan
19.900,Fiat,Palio,ELX 1.4 FLEX,2008,1 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio,1.4 attrative,2015,1 km,4,Gasolinae GNV
12.500,Fiat,Palio,Fire 1.0,2006,0 km,2,Gasolina e Álcool (flex)
19.900,Fiat,Palio,ELX 1.4 FLEX,2008,1 km,4,Gasolina e Álcool (flex)
33.790,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2015,55985 km,4,Gasolina e Álcool (flex)
48.400,Fiat,Palio,1.8 MPI ADVENTURE WEEKEND 16V,2014,50000 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,FIAT PALIO 1.8 MPI ADVENTURE WEEKEND 16V FLEX 4P AUTOMATIZADO,2010,111956 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio,1.6 ESSENCE FLEX,2015,22710 km,4,Gasolina e Álcool (flex)
28.990,Fiat,Palio,ATRATTIVE,2012,30110 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,FIRE,2015,54000 km,4,Gasolina e Álcool (flex)
14.890,Fiat,Palio,Palio Fire 1.0 ( Flex ),2009,125792 km,2,Gasolina e Álcool (flex)
33.790,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2015,55985 km,4,Gasolina e Álcool (flex)
33.790,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2015,55985 km,4,Gasolina e Álcool (flex)
29.890,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2013,60985 km,4,Gasolina e Álcool (flex)
29.890,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2013,60985 km,4,Gasolina e Álcool (flex)
29.890,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2013,60985 km,4,Gasolina e Álcool (flex)
33.790,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2015,55985 km,4,Gasolina e Álcool (flex)
29.890,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2013,60985 km,4,Gasolina e Álcool (flex)
8.000,Fiat,Palio,1997,238564 km,4,Gasolina
24.490,Fiat,Palio,1.0 ECONOMY FIRE FLEX 8V 2P,2015,59985 km,2,Gasolina e Álcool (flex)
36.900,Fiat,Palio,PALIO ATTRACTIVE BEST SELLER,2016,15000 km,5,Gasolina e Álcool (flex)
